CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS
ENGL 39 (43890),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ENGL 39 (43890),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ENGL 39 (43890),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ENGL 39 (43890),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ENGL 39 (43890),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ENGL 39 (43890),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ENGL 39 (43890),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ENGL 135H (44125),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ENGL 135H (44125),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ENGL 135H (44125),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ENGL 135H (44125),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
