CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS
ENGL 135H (44125),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ENGL 135H (44125),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ENGL 135H (44125),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ENGL 136 (43898),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ENGL 136 (43898),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ENGL 136 (43898),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ENGL 136 (43898),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ENGL 136 (43898),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ENGL 136 (43898),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ENGL 136 (43898),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ETHN 5 (42709),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (42709),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (42709),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (42709),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (42709),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (42709),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (42709),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (43683),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (43683),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (43683),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (43683),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (43683),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (43683),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 5 (43683),Intro Study of Race/Ethnic US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,WALSH MULP,"Griffin, Allia Ida",4.00
ETHN 30 (42711),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 135,"Hughes, Sakina",4.00
ETHN 30 (42711),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 135,"Hughes, Sakina",4.00
ETHN 30 (42711),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 135,"Hughes, Sakina",4.00
ETHN 30 (42711),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 135,"Hughes, Sakina",4.00
ETHN 30 (42711),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 135,"Hughes, Sakina",4.00
ETHN 30 (42711),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 135,"Hughes, Sakina",4.00
ETHN 30 (42711),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 135,"Hughes, Sakina",4.00
ETHN 30 (42715),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Hazard, Anthony Q",4.00
ETHN 30 (42715),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Hazard, Anthony Q",4.00
ETHN 30 (42715),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Hazard, Anthony Q",4.00
ETHN 30 (42715),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Hazard, Anthony Q",4.00
ETHN 30 (42715),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Hazard, Anthony Q",4.00
ETHN 30 (42715),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Hazard, Anthony Q",4.00
ETHN 30 (42715),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Hazard, Anthony Q",4.00
ETHN 40 (43914),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,CASA 7,"Lai, James S",4.00
ETHN 40 (43914),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,CASA 7,"Lai, James S",4.00
ETHN 40 (43914),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,CASA 7,"Lai, James S",4.00
ETHN 40 (43914),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,CASA 7,"Lai, James S",4.00
ETHN 40 (43914),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,CASA 7,"Lai, James S",4.00
ETHN 40 (43914),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,CASA 7,"Lai, James S",4.00
ETHN 40 (43914),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,CASA 7,"Lai, James S",4.00
ETHN 70 (42721),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ETHN 70 (42721),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ETHN 70 (42721),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ETHN 70 (42721),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ETHN 70 (42721),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ETHN 70 (42721),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ETHN 70 (42721),Multicultural Lit of the US,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,CASA 3,"Velasco-Moreno, Juan",4.00
ETHN 124 (43916),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ETHN 124 (43916),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ETHN 124 (43916),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ETHN 124 (43916),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ETHN 124 (43916),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ETHN 124 (43916),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ETHN 124 (43916),Latinx Lit & Cultural Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 05:40 PM - 7:20pm,ALAM 101,"Velasco-Moreno, Juan",5.00
ETHN 130H (44124),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ETHN 130H (44124),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ETHN 130H (44124),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ETHN 130H (44124),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ETHN 130H (44124),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ETHN 130H (44124),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ETHN 130H (44124),African-American Literature,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 104,"Morgan, Danielle Fuentes",5.00
ETHN 151 (44128),"Race, Class, & Gender in U.S.","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,VARI 134,"Berrelleza SJ, Erick",5.00
ETHN 151 (44128),"Race, Class, & Gender in U.S.","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,VARI 134,"Berrelleza SJ, Erick",5.00
ETHN 151 (44128),"Race, Class, & Gender in U.S.","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,VARI 134,"Berrelleza SJ, Erick",5.00
ETHN 151 (44128),"Race, Class, & Gender in U.S.","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,VARI 134,"Berrelleza SJ, Erick",5.00
ETHN 151 (44128),"Race, Class, & Gender in U.S.","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,VARI 134,"Berrelleza SJ, Erick",5.00
ETHN 151 (44128),"Race, Class, & Gender in U.S.","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,VARI 134,"Berrelleza SJ, Erick",5.00
ETHN 151 (44128),"Race, Class, & Gender in U.S.","American Studies (Pathway), Justice and the Arts (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,VARI 134,"Berrelleza SJ, Erick",5.00
ETHN 166 (43922),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43922),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43922),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43922),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43922),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43922),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43922),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43920),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 102,"Lampley, Karl Willie",5.00
ETHN 166 (43920),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 102,"Lampley, Karl Willie",5.00
ETHN 166 (43920),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 102,"Lampley, Karl Willie",5.00
ETHN 166 (43920),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 102,"Lampley, Karl Willie",5.00
ETHN 166 (43920),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 102,"Lampley, Karl Willie",5.00
ETHN 166 (43920),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 102,"Lampley, Karl Willie",5.00
ETHN 166 (43920),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 102,"Lampley, Karl Willie",5.00
ETHN 166 (43921),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43921),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43921),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43921),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43921),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43921),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 166 (43921),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,HEAFEY 129,"Moles, Kathryn Rose Sharie",5.00
ETHN 167 (43923),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,DOWD 208,"Di, Di",5.00
ETHN 167 (43923),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,DOWD 208,"Di, Di",5.00
ETHN 167 (43923),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,DOWD 208,"Di, Di",5.00
ETHN 167 (43923),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,DOWD 208,"Di, Di",5.00
ETHN 167 (43923),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,DOWD 208,"Di, Di",5.00
ETHN 167 (43923),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,DOWD 208,"Di, Di",5.00
ETHN 167 (43923),Race and Inequality,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,DOWD 208,"Di, Di",5.00
ETHN 171 (44706),Immigrant Communities,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Diversity",TR 12:10 PM - 1:50pm,ALAM 108,"Berrelleza SJ, Erick",5.00
ETHN 171 (44706),Immigrant Communities,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Diversity",TR 12:10 PM - 1:50pm,ALAM 108,"Berrelleza SJ, Erick",5.00
ETHN 171 (44706),Immigrant Communities,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Diversity",TR 12:10 PM - 1:50pm,ALAM 108,"Berrelleza SJ, Erick",5.00
ETHN 171 (44706),Immigrant Communities,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Diversity",TR 12:10 PM - 1:50pm,ALAM 108,"Berrelleza SJ, Erick",5.00
ETHN 171 (44706),Immigrant Communities,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Diversity",TR 12:10 PM - 1:50pm,ALAM 108,"Berrelleza SJ, Erick",5.00
ETHN 171 (44706),Immigrant Communities,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Diversity",TR 12:10 PM - 1:50pm,ALAM 108,"Berrelleza SJ, Erick",5.00
ETHN 171 (44706),Immigrant Communities,"American Studies (Pathway), Democracy (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Diversity",TR 12:10 PM - 1:50pm,ALAM 108,"Berrelleza SJ, Erick",5.00
HIST 83 (42738),North America: Peoples & Lands,"American Studies (Pathway), Design Thinking (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 83 (42738),North America: Peoples & Lands,"American Studies (Pathway), Design Thinking (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 83 (42738),North America: Peoples & Lands,"American Studies (Pathway), Design Thinking (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 83 (42738),North America: Peoples & Lands,"American Studies (Pathway), Design Thinking (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 83 (42738),North America: Peoples & Lands,"American Studies (Pathway), Design Thinking (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 83 (42738),North America: Peoples & Lands,"American Studies (Pathway), Design Thinking (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 83 (42738),North America: Peoples & Lands,"American Studies (Pathway), Design Thinking (Pathway), Paradigm Shifts (Pathway), Race Place & Soc Inequalities (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MW 03:30 PM - 5:15pm,HEAFEY 225,"Wigmore, Gregory Stephen",4.00
HIST 85 (43928),US Environmental History,"American Studies (Pathway), Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",TR 05:40 PM - 7:20pm,HEAFEY 225,"Pamphile Miller, Chrislaine",4.00
HIST 85 (43928),US Environmental History,"American Studies (Pathway), Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",TR 05:40 PM - 7:20pm,HEAFEY 225,"Pamphile Miller, Chrislaine",4.00
