CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS
ETHN 30 (38565),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 308,"Hughes, Sakina",4.00
ETHN 30 (38565),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 308,"Hughes, Sakina",4.00
ETHN 30 (38565),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 308,"Hughes, Sakina",4.00
ETHN 30 (38565),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 308,"Hughes, Sakina",4.00
ETHN 30 (39560),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 107,"Hazard, Anthony Q",4.00
ETHN 30 (39560),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 107,"Hazard, Anthony Q",4.00
ETHN 30 (39560),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 107,"Hazard, Anthony Q",4.00
ETHN 30 (39560),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 107,"Hazard, Anthony Q",4.00
ETHN 30 (39560),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 107,"Hazard, Anthony Q",4.00
ETHN 30 (39560),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 107,"Hazard, Anthony Q",4.00
ETHN 30 (39560),Intro to African Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 107,"Hazard, Anthony Q",4.00
ETHN 40 (39753),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,VARI 134,"Lai, James S",4.00
ETHN 40 (39753),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,VARI 134,"Lai, James S",4.00
ETHN 40 (39753),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,VARI 134,"Lai, James S",4.00
ETHN 40 (39753),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,VARI 134,"Lai, James S",4.00
ETHN 40 (39753),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,VARI 134,"Lai, James S",4.00
ETHN 40 (39753),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,VARI 134,"Lai, James S",4.00
ETHN 40 (39753),Intro to Asian Amer Studies,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 09:15 AM - 10:20am,VARI 134,"Lai, James S",4.00
ETHN 69 (39755),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 105,"Edelstein, Marilyn J",4.00
ETHN 69 (39755),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 105,"Edelstein, Marilyn J",4.00
ETHN 69 (39755),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 105,"Edelstein, Marilyn J",4.00
ETHN 69 (39755),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 105,"Edelstein, Marilyn J",4.00
ETHN 69 (39755),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 105,"Edelstein, Marilyn J",4.00
ETHN 69 (39755),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 105,"Edelstein, Marilyn J",4.00
ETHN 69 (39755),Lit Am Women Writers of Color,"American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 02:00 PM - 3:40pm,KENNA 105,"Edelstein, Marilyn J",4.00
ETHN 142 (38568),Asian American Communities,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 134,"Lai, James S",5.00
ETHN 142 (38568),Asian American Communities,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 01:00 PM - 2:05pm,VARI 134,"Lai, James S",5.00
