CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
RSOC 21 (35923),Urban Religion,"American Studies (Pathway), Religion Theology & Culture 2",MW 03:30 PM - 5:15pm,ALAM 105,"Drescher, Elizabeth",4.00,2
RSOC 51 (34953),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",MWF 01:00 PM - 2:05pm,KENNA 308,"Lampley, Karl Willie",4.00,None
RSOC 51 (34956),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",T 06:00 PM - 9:15pm,KENNA 111,"Wright, Jaime D.",4.00,None
RSOC 184 (36318),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 03:50 PM - 5:30pm,KENNA 306,"Moles, Kathryn Rose Sharie",5.00,None
RSOC 184 (34963),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 04:45 PM - 6:30pm,KENNA 214,"Lampley, Karl Willie",5.00,None
RSOC 184 (36317),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",TR 12:10 PM - 1:50pm,KENNA 218,"Moles, Kathryn Rose Sharie",5.00,None
SOCI 33 (35714),Social Problems in the U.S.,"American Studies (Pathway), Feeding the World (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,ONLINE,"King, Molly Mccarthy",4.00,None
WGST 50 (35120),Intro:Women's & Gender Studies,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",TR 03:50 PM - 5:30pm,OCONR 109,"Sharangpani, Mukta H",4.00,None
WGST 57 (35114),Women in American Society,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity",MWF 09:15 AM - 10:20am,MDF 119,"Unger, Nancy C",4.00,None
WGST 57 (35500),Women in American Society,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity",MWF 11:45 AM - 12:50pm,DOWD 210,"Unger, Nancy C",4.00,None
WGST 144 (35720),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,OCONR 206,"Jegathesan, Mythri",5.00,None
WGST 166 (35723),"Women, Literature and Theory","American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,ONLINE,"Edelstein, Marilyn J",5.00,6
ENGL 108 (35625),Writing in STEM,"Applied Ethics (Pathway), Values Science Technology (Pathway), Advanced Writing, Science Technology & Society",MWF 02:15 PM - 3:20pm,OCONR 205,"Conefrey, Theresa C",5.00,None
MGMT 6 (40266),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TBA,TBA,TBA,4.00,3
MGMT 6 (35507),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 02:00 PM - 3:40pm,LUCAS 206,"Santoro, Michael Anthony",4.00,None
MGMT 6 (35191),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 08:00 AM - 9:05am,ONLINE,"Jacobus, Laura Elizabeth",4.00,None
MGMT 6 (35192),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 08:30 AM - 10:10am,LUCAS 309,"Santoro, Michael Anthony",4.00,None
MGMT 6 (35202),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 12:10 PM - 1:50pm,LUCAS 306,"Santoro, Michael Anthony",4.00,None
PHIL 21A (35677),Introduction to Ethics,"Applied Ethics (Pathway), Ethics",MWF 02:15 PM - 3:20pm,ONLINE,"Kain, Philip J",4.00,None
PHIL 22 (35678),Ethics in the Digital Age,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics",TR 10:20 AM - 12pm,KENNA 111,"Kennedy, Susan",4.00,None
PHIL 25 (34768),Ethics in Society,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics",MWF 08:00 AM - 9:05am,KENNA 304,"Kwan, Jonathan",4.00,2
PHIL 26 (34740),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 01:00 PM - 2:05pm,SCDI 2302,"Frise, Matthew Justin",4.00,None
PHIL 26 (34742),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",MWF 04:45 PM - 5:50pm,KENNA 304,"Frise, Matthew Justin",4.00,None
PHIL 27 (34753),Ethics in Health Care,"Applied Ethics (Pathway), Values Science Technology (Pathway), Ethics",MWF 04:45 PM - 5:50pm,CASA 7,"Buckley, Brian J",4.00,None
PHIL 27H (34761),Ethics in Health Care-Honors,"Applied Ethics (Pathway), Ethics",MWF 02:15 PM - 3:20pm,OCONR 210,"Buckley, Brian J",4.00,1
PHIL 29 (34758),Ethics and the Environment,"Applied Ethics (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Ethics",MWF 01:00 PM - 2:05pm,ONLINE,"Dill, Kimberly Mae",4.00,None
PHIL 30 (35679),Ethics and the Law,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics",MWF 01:00 PM - 2:05pm,KENNA 105,"Nelson, Lawrence J",4.00,None
