CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
COEN 21L (35334),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,SCDI 4001,"Tehranipoor, Fatemeh",1.00,None
COEN 21L (35336),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 02:15 PM - 5pm,SCDI 4001,"Zheng, Yu",1.00,None
COEN 21L (35337),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,SCDI 4001,"Zheng, Yu",1.00,None
COEN 21L (35338),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,SCDI 4001,"Tehranipoor, Fatemeh",1.00,None
COMM 12 (34077),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,KENNA 107,"Kratz, Charlotta K",4.00,None
COMM 12 (34098),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,KENNA 107,"Jeong, David",4.00,None
COMM 12 (34076),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,KENNA 107,"Kratz, Charlotta K",4.00,None
CSCI 10 Lab (34052),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",T 02:00 PM - 3:40pm,OCONR 102,"Shaghaghi, Navid",N/A,None
CSCI 10 Lab (34062),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",R 02:00 PM - 3:40pm,OCONR 207,"Shaghaghi, Navid",N/A,1
CSCI 10 Lab (34051),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",T 03:50 PM - 5:30pm,OCONR 104,"Shaghaghi, Navid",N/A,None
CSCI 10 Lab (34053),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",R 03:50 PM - 5:30pm,OCONR 207,"Shaghaghi, Navid",N/A,None
CSCI 10 (34049),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 08:00 AM - 9:05am,OCONR 207,"Ghosh, Smita",5.00,2
CSCI 10 (34048),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,OCONR 104,"Linnell, Natalie Blake",5.00,None
CSCI 10 (34050),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 11:45 AM - 12:50pm,OCONR 206,"Linnell, Natalie Blake",5.00,None
DANC 49 (34032),Dance Composition,"Design Thinking (Pathway), Arts",TR 12:10 PM - 1:50pm,MDF 124,"Kusanovich, Kristin A",4.00,23
ECON 1 (34998),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 02:00 PM - 3:40pm,GRAHAM 164,"Guo, Audrey M",4.00,None
ECON 1 (36261),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 02:00 PM - 3:40pm,OCONR 206,"Huang, Hui",4.00,None
ECON 1 (35025),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 02:15 PM - 3:20pm,LUCAS 207,"Ifcher, John D",4.00,None
ECON 1 (35024),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MW 03:30 PM - 5:15pm,LUCAS 307,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (35027),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 03:30 PM - 4:35pm,LUCAS 206,"Ifcher, John D",4.00,None
ECON 1 (35017),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 08:00 AM - 9:05am,GRAHAM 164,"Park, Damian Blase",4.00,None
ECON 1 (35019),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 09:15 AM - 10:20am,GRAHAM 164,"Park, Damian Blase",4.00,None
ECON 1 (34997),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 10:20 AM - 12pm,GRAHAM 164,"Guo, Audrey M",4.00,None
ECON 1 (35022),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 10:30 AM - 11:35am,GRAHAM 164,"Park, Damian Blase",4.00,None
ECON 1 (35014),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 12:10 PM - 1:50pm,GRAHAM 163,"Guo, Audrey M",4.00,None
ECON 1 (36260),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 12:10 PM - 1:50pm,OCONR 206,"Huang, Hui",4.00,None
ELEN 21 (35283),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 10:20 AM - 12pm,HEAFEY 122,"Chan, Donald",4.00,None
ELEN 21 (35282),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,ALAM 102,"Tran, Dat Tien",4.00,None
ELEN 21 (35284),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,HEAFEY 125,"Kyrarini, Maria",4.00,None
ELEN 21L (35285),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",M 02:15 PM - 5pm,SCDI 4001,"Zheng, Yu",1.00,None
ELEN 21L (35286),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,SCDI 4001,"Tehranipoor, Fatemeh",1.00,None
ELEN 21L (35288),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 02:15 PM - 5pm,SCDI 4001,"Zheng, Yu",1.00,None
ELEN 21L (35289),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,SCDI 4001,"Zheng, Yu",1.00,None
ELEN 21L (35290),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,SCDI 4001,"Zheng, Yu",1.00,None
ELSJ 135 (35531),Research:Social Entrepreneursh,"Design Thinking (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Experiential Learning for Social Justice, Science Technology & Society",MW 03:30 PM - 5:15pm,GRAHAM 163,"Carroll, Stephen B",5.00,None
ENGL 181 (34391),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS",MWF 01:00 PM - 2:05pm,OCONR 201,"Pfeiffer, Loring A",4.00,None
ENGR 19 (35258),Ethics in Technology,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",MWF 09:15 AM - 10:20am,ONLINE,"Gaudet, Matthew",4.00,None
ENGR 19 (35264),Ethics in Technology,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",MWF 10:30 AM - 11:35am,ONLINE,"Gaudet, Matthew",4.00,None
ENGR 19 (36019),Ethics in Technology,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",MWF 11:45 AM - 12:50pm,ONLINE,"Gaudet, Matthew",4.00,None
ENGR 110 (35257),Community Based Engr. Design,"Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",T 02:15 PM - 5pm,SCDI 3116,"Kuczenski, Jessica Anderson",3.00,None
ENVS 21 Lab (34441),Environmental Biology Lab,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",T 02:15 PM - 5pm,SCDI 3205,"Marvier, Michelle Ann",N/A,None
ENVS 21 Lab (34442),Environmental Biology Lab,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",R 02:15 PM - 5pm,SCDI 3205,"Siciliano, Daria",N/A,None
ENVS 21 (34440),Environmental Biology,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",TR 08:30 AM - 10:10am,ONLINE,"Marvier, Michelle Ann",5.00,None
ENVS 120 (35639),Intro to Envt'l Law & Reg: US,"Design Thinking (Pathway), Law & Social Justice (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",MW 05:25 PM - 7:10pm,ONLINE,"Bowmani, Zsea",5.00,19
ENVS 146 (34445),"Agri, Env & Dev: Latin America","Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",T 03:50 PM - 7:05pm,ALAM 102,"Nicholls, Clara",5.00,22
HIST 79 (34566),Technology: Steam to Cyborgs,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,ALAM 101,"Newsom Kerr, Matthew L.",4.00,1
HIST 179 (34568),Technology: Steam to Cyborgs,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,ALAM 101,"Newsom Kerr, Matthew L.",5.00,1
MECH 10 (36477),Graphical Comm in Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 08:30 AM - 10:10am,SCDI 1308,"Shoup, Terry E",4.00,None
MECH 10 (35220),Graphical Comm in Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 10:20 AM - 12pm,SCDI 2301,"Tszeng, T. Calvin",4.00,None
MECH 10 (35229),Graphical Comm in Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,SCDI 3116,"Tszeng, T. Calvin",4.00,None
MECH 10L (35223),Graphical Comm in Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",M 02:15 PM - 5pm,HEAFEY 214,"Tszeng, T. Calvin",1.00,None
MECH 10L (35225),Graphical Comm in Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,HEAFEY 202,"Tszeng, T. Calvin",1.00,None
MECH 10L (35238),Graphical Comm in Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,HEAFEY 214,"Tszeng, T. Calvin",1.00,None
MECH 10L (36478),Graphical Comm in Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,HEAFEY 202,"Tszeng, T. Calvin",1.00,None
MECH 10L (35224),Graphical Comm in Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 05:15 PM - 8pm,HEAFEY 112,"Tszeng, T. Calvin",1.00,None
MGMT 164 (40387),Introduction to Entrepreneursh,"Design Thinking (Pathway), Vocation (Pathway)",TBA,TBA,TBA,5.00,29
MGMT 164 (35203),Introduction to Entrepreneursh,"Design Thinking (Pathway), Vocation (Pathway)",TR 12:10 PM - 1:50pm,KENNA 212,"El-Zayaty, Andy",5.00,None
OMIS 105 (35443),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 02:00 PM - 3:40pm,ONLINE,"Morid, Mohammad Amin",5.00,None
OMIS 105 (35463),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,ONLINE,"Morid, Mohammad Amin",5.00,None
OMIS 107 (35909),Systems Programming,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 02:00 PM - 3:40pm,ONLINE,"Samorani, Michele",5.00,None
SOCI 49 (35159),"Tech, Social Media, & Society","Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MF 03:30 PM - 5:15pm,ONLINE,"Robinson, Laura Caroline",4.00,None
SOCI 60 (40388),Intro Social Entrepreneurship,"Design Thinking (Pathway), Social Science",TBA,TBA,TBA,4.00,28
SOCI 60 (35876),Intro Social Entrepreneurship,"Design Thinking (Pathway), Values Science Technology (Pathway), Social Science",F 11:45 AM - 3pm,ONLINE,"Robinson, Laura Caroline",4.00,None
TESP 16 (35709),"Religion, Science and Ecology","Design Thinking (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Religion Theology & Culture 1",MWF 01:00 PM - 2:05pm,ALAM 105,"Schutz, Paul James",4.00,None
THTR 32 (35137),Costume Construction,"Design Thinking (Pathway), Arts",TR 08:30 AM - 10:10am,MAYER CS,"Murray, Barbara Ann",4.00,None
THTR 33 (35128),Stage Lighting,"Design Thinking (Pathway), Arts",MWF 01:00 PM - 2:05pm,FSPKR 1,"Duarte, Derek E",4.00,1
ANTH 50 (34006),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",MWF 01:00 PM - 2:05pm,CASA 7,"Gray, Leslie",4.00,None
BUSN 150 (35049),Feeding The World,"Feeding the World (Pathway), Sustainability (Pathway), Science Technology & Society",TR 12:10 PM - 1:50pm,ONLINE,"Hale, Joanne Tompkins",5.00,5
ECON 134 (35736),African Economic Development,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",TR 12:10 PM - 1:50pm,KENNA 306,"Kevane, Michael",5.00,None
ENVS 50 (34435),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",MWF 01:00 PM - 2:05pm,CASA 7,"Gray, Leslie",4.00,None
POLI 40 (34677),Politics of US Econ Policies,"Feeding the World (Pathway), Social Science",TR 08:30 AM - 10:10am,VARI 133,"Faulve-Montojo, Kenneth Wilfred",4.00,14
SOCI 134 (35153),Globalization & Inequality,"Feeding the World (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Cultures and Ideas 3",MWF 10:30 AM - 11:35am,ONLINE,"Chiaraluce, Cara Ann",5.00,None
SOCI 165 (35715),Human Services,"Feeding the World (Pathway), Race Place & Soc Inequalities (Pathway), Experiential Learning for Social Justice",MWF 03:30 PM - 4:35pm,SCDI 3302,"Yuter, Sheila M",5.00,None
HIST 102S (35651),Genocide & Gender in 20th Cent,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Human Rights (Pathway), Cultures and Ideas 3",W 03:30 PM - 6:30pm,OCONR 204,"Randall, Amy E",5.00,1
WGST 108 (35986),Genocide & Gender in 20th Cent,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Human Rights (Pathway), Cultures and Ideas 3",W 03:30 PM - 6:30pm,OCONR 204,"Randall, Amy E",5.00,1
ETHN 154 (35916),Women of Color in the US,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,KENNA 102,"Heard, CiAuna",5.00,None
TESP 131 (35711),Feminist Theologies,"Gender, Sexuality & the Body (Pathway), Religion Theology & Culture 3",MWF 02:15 PM - 3:20pm,OCONR 102,"Barros, Pearl Maria",5.00,None
WGST 51 (35719),Introduction to LGBTQ Studies,"Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,OCONR 107,"Wilson, Leah",4.00,5
WGST 149 (35721),Feminist Theologies,"Gender, Sexuality & the Body (Pathway), Religion Theology & Culture 3",MWF 02:15 PM - 3:20pm,OCONR 102,"Barros, Pearl Maria",5.00,None
POLI 142 (35692),Politics in Middle East,"Islamic Studies (Pathway), Politics & Religion (Pathway)",TR 03:50 PM - 5:30pm,ONLINE,"Senzai, Farid D",5.00,11
SCTR 19 (34974),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1",MWF 01:00 PM - 2:05pm,ONLINE,"Giddings, Janet M",4.00,None
SCTR 19 (35497),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1",TR 02:00 PM - 3:40pm,KENNA 109,"Karam, Clovis",4.00,None
SCTR 19 (34973),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1",MWF 02:15 PM - 3:20pm,KENNA 109,"Chopra-McGowan, Cathleen",4.00,None
SCTR 19 (34975),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1",TR 10:20 AM - 12pm,ALAM 108,"Karam, Clovis",4.00,2
MUSC 133 (36026),Music in the Community,"Justice and the Arts (Pathway), Civic Engagement, Experiential Learning for Social Justice",TR 12:10 PM - 1:50pm,MDF 119,"Furuta, Ray Mathew",5.00,None
BUSN 196 (35066),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)",TBA,TBA,"Mains, William James",1.00,17
BUSN 196 (35505),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)",TBA,TBA,"Versteeg, Brenda Joyce",1.00,None
COMM 151A (34118),Organizational Communication,"Leading People, Org & Soc Chng (Pathway)",TR 10:20 AM - 12pm,VARI 135,"Boren, Justin Peter",5.00,None
MILS 11 Lab (35553),The Army and Critical Thinking Lab,"Leading People, Org & Soc Chng (Pathway)",W 02:15 PM - 5pm,DALY 206,"Chang, Sean",N/A,54
MILS 11 (35552),The Army and Critical Thinking,"Leading People, Org & Soc Chng (Pathway)",TR 08:30 AM - 10:10am,VARSI 231,"Sanchez, Cristhian",3.00,19
MILS 21 Lab (35555),Leadership and Decision Making Lab,"Leading People, Org & Soc Chng (Pathway)",W 02:15 PM - 5pm,DALY 206,"Pestana, Godfrey",N/A,55
MILS 21 (35554),Leadership and Decision Making,"Leading People, Org & Soc Chng (Pathway)",TR 08:30 AM - 10:10am,CASA 3,"Landon, Geoffery M",3.00,20
MILS 131 Lab (35557),Intro Management Warfighting Lab,"Leading People, Org & Soc Chng (Pathway)",W 02:15 PM - 5pm,DALY 206,"Landon, Geoffery M",N/A,57
MILS 131 (35556),Intro Management Warfighting,"Leading People, Org & Soc Chng (Pathway)",TR 08:30 AM - 10:10am,VARSI 114,"Landon, Geoffery M",4.00,22
MILS 141 Lab (35559),The Army Officer Lab,"Leading People, Org & Soc Chng (Pathway)",W 02:15 PM - 5pm,DALY 206,"Landon, Geoffery M",N/A,49
MILS 141 (35558),The Army Officer,"Leading People, Org & Soc Chng (Pathway)",TR 08:30 AM - 10:10am,DOWD 208,"Newman, Travis Edward",4.00,14
ARTH 120 (40394),Keeping up with the Medici,"Paradigm Shifts (Pathway), Advanced Writing",TBA,TBA,TBA,5.00,29
CLAS 171 (35612),Ancient Science and Technology,"Paradigm Shifts (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 10:30 AM - 11:35am,ONLINE,"Roncaglia, Carolynn Elizabeth",5.00,None
COEN 19 (35373),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 01:00 PM - 2:05pm,ONLINE,"Walden, Byron L",4.00,11
COEN 19 (35319),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 08:00 AM - 9:05am,OCONR 107,"McGinley, Sarah Tamsen",4.00,None
COEN 19 (35323),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 11:45 AM - 12:50pm,OCONR 107,"Grice, Joshua",4.00,6
ELEN 160 (35292),"Chaos Theory, Metamathematics","Paradigm Shifts (Pathway), Religion Theology & Culture 3",TR 05:10 PM - 7pm,ALAM 104,"Zecevic, Aleksandar",4.00,12
MATH 51 (34538),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 01:00 PM - 2:05pm,ONLINE,"Walden, Byron L",4.00,11
MATH 51 (34501),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 08:00 AM - 9:05am,OCONR 107,"McGinley, Sarah Tamsen",4.00,None
MATH 51 (34507),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 11:45 AM - 12:50pm,OCONR 107,"Grice, Joshua",4.00,6
PHIL 19 (35676),Knowledge and Reality,"Paradigm Shifts (Pathway), Advanced Writing",MWF 01:00 PM - 2:05pm,KENNA 111,"Yang, Eric Timothy",4.00,2
TESP 2 (35175),"Magicians, Athletes & God","Paradigm Shifts (Pathway), Religion Theology & Culture 1",TR 03:50 PM - 5:30pm,ALAM 105,"Vance-Trembath, Sally M",4.00,None
TESP 50 (35498),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 02:15 PM - 3:20pm,KENNA 102,"Raby, Elyse",4.00,None
TESP 50 (35174),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 08:00 AM - 9:05am,SOBRATO 19,"Scholla SJ, Robert W.",4.00,5
TESP 50 (35177),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 10:30 AM - 11:35am,SOBRATO 19,"Scholla SJ, Robert W.",4.00,2
TESP 124 (35183),Theology of Marriage,"Paradigm Shifts (Pathway), Religion Theology & Culture 3",MWF 01:00 PM - 2:05pm,GRAHAM 163,"Hillberg, Lynn Elizabeth",5.00,None
TESP 124 (35170),Theology of Marriage,"Paradigm Shifts (Pathway), Religion Theology & Culture 3",MW 03:30 PM - 5:15pm,HEAFEY 225,"Vance-Trembath, Sally M",5.00,None
COMM 107A (34099),Intercultural Communication,"Race Place & Soc Inequalities (Pathway), Diversity, Experiential Learning for Social Justice",MW 03:30 PM - 5:15pm,VARI 133,"Cheng, Hsin-I",5.00,None
ETHN 20 (34584),Intro to Latina/o/x Studies,"Race Place & Soc Inequalities (Pathway), Diversity",TR 08:30 AM - 10:10am,DOWD 210,"Fernandez, Jesica Siham",4.00,1
ETHN 120 (35644),Mexican Immigration to the US,"Race Place & Soc Inequalities (Pathway), Diversity",TR 03:50 PM - 5:30pm,ALAM 103,"Sampaio, Anna Christina",5.00,7
ETHN 127 (40446),Race and Mass Incarceration,"Race Place & Soc Inequalities (Pathway), Diversity",TBA,TBA,TBA,5.00,29
ETHN 127 (34585),Race and Mass Incarceration,"Race Place & Soc Inequalities (Pathway), Diversity",MW 03:30 PM - 5:15pm,ONLINE,"Griffin, Allia Ida",5.00,None
ETHN 155 (35646),Racism in the United States,"Race Place & Soc Inequalities (Pathway), Diversity",MWF 10:30 AM - 11:35am,DOWD 210,"Hughes, Sakina",5.00,2
PHSC 125 (35687),"Race, Class, Gender, and PH","Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,LUCAS 209,"Chang, Jamie Suki",5.00,None
TESP 165 (35712),Romero & Salvadoran Martyrs,"Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",MW 03:30 PM - 5:15pm,KENNA 104,"Pineda RSM, Ana Maria",5.00,None
WGST 112 (35124),Women of Color in the US,"Race Place & Soc Inequalities (Pathway), Diversity",MWF 11:45 AM - 12:50pm,KENNA 102,"Heard, CiAuna",5.00,None
ANTH 154 (34010),Environmental Anthropology,"Sustainability (Pathway), Civic Engagement",MWF 08:00 AM - 9:05am,VARI 128,"Anderson, Ryan Bruce",5.00,3
BIOL 188 (34257),STEM Education and Justice,"Sustainability (Pathway), Experiential Learning for Social Justice",M 05:30 PM - 7pm,SCDI 3301,"Korsmeyer, Katy Kuo",3.00,None
CENG 144 (35758),Water and Wastewater Treatment,"Sustainability (Pathway), Values Science Technology (Pathway)",MWF 08:00 AM - 9:05am,SCDI 3116,"Amirbahman, Aria",3.00,22
CENG 144L (35759),Water/Wastewater Treatment Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",T 02:15 PM - 5pm,ALAM 104,"Amirbahman, Aria",1.00,22
CENG 161 (35407),Sustainable Water Resources,"Sustainability (Pathway), Values Science Technology (Pathway)",TR 08:30 AM - 10:10am,ALAM 108,"Maurer, Edwin P.",3.00,8
ENGR 1 (35255),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",T 12:10 PM - 1:15pm,SCDI 2302,"Kuczenski, Jessica Anderson",1.00,None
ENGR 1 (35256),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",R 12:10 PM - 1:15pm,SCDI 2302,"Westerinen, Jeff",1.00,None
ENVS 23 (34436),Introduction to Earth Systems,"Sustainability (Pathway), Values Science Technology (Pathway)",MWF 10:30 AM - 11:35am,ALAM 103,"Hughes, Stephanie E",5.00,None
ENVS 23 Lab (34437),Introduction to Earth Systems Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",M 11:45 AM - 2:30pm,SCDI 3205,"Hughes, Stephanie E",N/A,None
ENVS 23 Lab (34438),Introduction to Earth Systems Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",W 11:45 AM - 2:30pm,SCDI 3205,"Hughes, Stephanie E",N/A,None
ENVS 143 (35991),Lit of Environmental Hope,"Sustainability (Pathway), Vocation (Pathway), Advanced Writing",MWF 11:45 AM - 12:50pm,KENNA 216,"Grudin, Theodore Robert",5.00,None
ENVS 147 (35640),Internat Environ & Develop,"Sustainability (Pathway), Values Science Technology (Pathway)",MWF 02:15 PM - 3:20pm,CASA 7,"Gray, Leslie",5.00,20
ENVS 191EL (34450),Urban Ag Practicum - ELSJ,"Sustainability (Pathway), Experiential Learning for Social Justice",MW 02:15 PM - 4:15pm,HEAFEY 122,"Rondthaler, Katharine Madeleine",2.00,None
PHIL 116 (35682),Environmental Ethics,"Sustainability (Pathway), Ethics",MWF 02:15 PM - 3:20pm,ONLINE,"Dill, Kimberly Mae",5.00,3
ACTG 134 (35091),Accounting Information Systems,"The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 03:50 PM - 5:30pm,LUCAS 309,"Fowler, Kenneth J",5.00,None
ARTS 57 (40339),Digital Photography,"The Digital Age (Pathway), Arts",TBA,TBA,TBA,4.00,30
ARTS 57 (34322),Digital Photography,"The Digital Age (Pathway), Arts",TR 08:30 AM - 10:50am,DOWD 302,"Billingslea, Renee",4.00,None
ARTS 57 (34327),Digital Photography,"The Digital Age (Pathway), Arts",TR 11:00 AM - 1:20pm,DOWD 302,"Billingslea, Renee",4.00,None
COMM 185A (35618),"Ident,Priv,Poli in Digital Age","The Digital Age (Pathway), Values Science Technology (Pathway)",MWF 01:00 PM - 2:05pm,CASA 3,"Chopra, Rohit",5.00,None
MUSC 57 (35671),Laptop Orchestra (SCLOrk),"The Digital Age (Pathway), Arts",TR 08:30 AM - 10:10am,MDF 231,"Ruviaro, Bruno Tucunduva",2.00,6
MUSC 157 (35674),Laptop Orchestra (SCLOrk),"The Digital Age (Pathway), Arts",TR 08:30 AM - 10:10am,MDF 231,"Ruviaro, Bruno Tucunduva",2.00,6
OMIS 34 (35432),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MW 03:30 PM - 5:15pm,SCDI 3116,"Wang, Yaqiong",4.00,None
OMIS 34 (35453),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 03:30 PM - 4:35pm,LUCAS 310,"Sur, Sumana",4.00,None
OMIS 34 (35436),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MW 05:25 PM - 7:10pm,SCDI 3116,"Wang, Yaqiong",4.00,None
OMIS 34 (35446),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MW 07:20 PM - 9:05pm,SCDI 3116,"Wang, Yaqiong",4.00,8
