COURSE TAG,COURSE NAME,CORES SATISFIED
MGMT 6 (51079),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement"
MGMT 6 (51095),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement"
MGMT 6 (51080),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement"
PHIL 21A (50706),Introduction to Ethics,"Applied Ethics (Pathway), Ethics"
PHIL 22 (50707),Ethics in the Digital Age,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics"
PHIL 22 (51463),Ethics in the Digital Age,"Applied Ethics (Pathway), Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Ethics"
PHIL 25 (51464),Ethics in Society,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics"
PHIL 25 (50702),Ethics in Society,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics"
PHIL 26 (50685),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement"
PHIL 26 (50687),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement"
PHIL 26 (51465),Ethics in Business,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement"
PHIL 27 (50697),Ethics in Health Care,"Applied Ethics (Pathway), Values Science Technology (Pathway), Ethics"
PHIL 27 (51466),Ethics in Health Care,"Applied Ethics (Pathway), Values Science Technology (Pathway), Ethics"
PHIL 30 (50708),Ethics and the Law,"Applied Ethics (Pathway), Law & Social Justice (Pathway), Ethics"
PHIL 32 (51467),Neuroethics,"Applied Ethics (Pathway), Ethics"
PHIL 32 (50709),Neuroethics,"Applied Ethics (Pathway), Ethics"
